title,link,like,angry
8.2대책으로 재편되는 부동산시장… 생활시설 갖춘 단지 ‘각광’,https://search.naver.com/p/crd/rd?m=1&px=307&py=1432&sx=307&sy=712&p=UCveYdp0J1sssbQAZG0sssssslw-238517&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%83%81%EA%B6%8C%26%EB%B6%80%EB%8F%99%EC%82%B0&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=KfdiWz2UvILGv%2BsCe%2FpJQA%3D%3D&time=1581306383475&bt=32&a=nws*e.nav&r=15&i=880000BC_000000000000000004437883&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D009%26aid%3D0004437883,9,2
8.2대책으로 재편되는 부동산시장… 생활시설 갖춘 단지 ‘각광’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=081&aid=0002976368,11,35
상권 활성화된 서울 강남구·중구·성동구 20%대 ‘핀셋 인상’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=427&aid=0000033893,0,0
"[스타 ★테크⑤] 아이유·윤아, '부동산 투자계 샛별' 등극",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000389061,0,0
"""유커가 온다""…가라앉던 상권도 들썩",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000499639,0,3
송파 부동산시장 '청신호'에 주목받는 헬리오시티 아파트 단지 상가,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0003849866,0,0
"중국인 관광객 줄어 ..압구정, 신사, 이대 상권 위축",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004425084,4,1
[우리동네 지역전문가] 도심과 자연이 함께하는 ‘강남구 개포동’… 신축에 ...,https://search.naver.com/p/crd/rd?m=1&px=307&py=1427&sx=307&sy=712&p=UCveIsp0YihsssQsBmsssssssI8-095241&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%83%81%EA%B6%8C%26%EB%B6%80%EB%8F%99%EC%82%B0&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=KfdiWz2UvILGv%2BsCe%2FpJQA%3D%3D&time=1581306426506&bt=32&a=nws*e.nav&r=14&i=880000BC_000000000000000004425084&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D009%26aid%3D0004425084,4,1
단독주택·토지 등 부동산 가격 10년래 가장 많이 올라···稅 부담↑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003224035,1,6
[우리동네 지역전문가] 도심 속 쾌적함을 누리는 ‘강남구 개포동’… 새 아파...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004432135,2,0
[MK 추천매물] 강남구 강남역 중심상권 신축 용지 375억원,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&oid=009&aid=0004055323,0,0
그래도 부동산…수익형부동산 인기,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000586889,1,0
"부동산 중개 변호사, 검찰 첫 수사에 반발",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0003629735,0,0
"""더 뜨거워진 사교육 열풍… 대치동 학원가 '강남 1위 상권' 떠올라""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003899805,9,11
[우리동네 지역전문가] 한강변 아파트의 변신 기대되는 명실상부 명품 주거지...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004425784,1,3
"KB국민은행, 현장밀착형 '부동산투자자문센터' 개설",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000409545,0,0
8.2대책으로 재편되는 부동산시장… 생활시설 갖춘 단지 ‘각광’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003090665,0,0
강남보다 높은 콧대…도심상권 ‘기지개’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001309042,0,0
"""살아나는 도심 상권…종로3가 카페, 신사동보다 많아""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000397573,2,1
부동산 11·3 대책 넘는 4大 투자전략,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000054738,6,0
"檢, 부동산 중개 변호사 첫 수사..변호사업계는 '반발'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0003629590,1,0
"사드 타격, 신사동 압구정 이화여대 상권 임대료 하락세 지속",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000287448,0,1
강남보다 높은 콧대…도심상권 ‘조용한 상승’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001308840,0,0
부동산대책 돌파구…희소성 갖춘 '제주 드림타워' 주목,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002193493,0,0
[퇴근길 부동산]아파트에 밀렸던 단독주택이 다시 뜬다…왜?,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003132178,7,1
[단독주택 공시가]'홍대상권 활성화 영향'..마포구 가격 상승률 최고,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0003531222,0,0
檢 '복덕방 변호사' 위법 기소.. 부동산 중개업 놓고 공방 예고,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0003680150,0,0
임대료 20% 낮춰도…강남 노른자 상권까지 ‘텅텅’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=449&aid=0000152981,8,13
날개단 송파구 상권…월매출 반년 만에 7배,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001349326,3,0
"강남, 명동보다 수익률 높은 분당 상권 대표하는 랜드마크 복합상가 ‘분당 지...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001515857,0,0
부동산 재테크 지역 '강남 신사'의 新 프리미엄 복합상가! '신사역 멀버리힐스...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000774802,0,0
[우리동네 지역전문가] 개발 호재 없이도 완성형 생활 인프라 자랑하는 ‘강남...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004399512,0,0
[사회] 검찰 수사로 간 변호사의 부동산중개,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=037&aid=0000021631,4,0
[우리동네 지역전문가] 강남에서 쉽게 누릴 수 없는 생활 환경 자랑하는 ‘강...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004391191,9,5
[MK 부동산 단신] 인천 주안동 대로변 메디컬빌딩 매매∙임대,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004423290,0,0
부동산규제 속 공유오피스 풍선효과…‘대청비즈오피스’ 주목,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001484788,1,1
홍대 상권 달아올랐네… 땅값 1년새 18% 뛰었다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002306208,1,0
"서울 ‘핫 상권’ 종각역, 작년 임대료 38.4%↑",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003123409,0,0
"52시간 근무제로 내 집 앞 상권이 뜬다, '송파 센트라포레' 관심 집중",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=076&aid=0003295413,0,1
"서울 집값 올린 데는 외국인도 한몫… ""그중 절반은 중국인""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000459840,22,689
8.2 부동산 대책에 '강남 상가'와 '부산'이 웃는 이유,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=047&aid=0002158203,1,1
"강남구 압구정동 `현대14차`, 전용 84㎡ 전세 거래 완료",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004305490,0,1
"[우리동네 지역전문가] 대형 개발 호재 수혜 기대되는 곳, 강남구 ‘청담동’",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004353985,8,0
"청정상권 학세권 상가 '눈길'.. 대치동 월세, 강남구서 가장 높아",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0003930225,1,0
강남구 상업용 빌딩 거래 회복세…거래금액 작년 평균 웃돌아,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001395734,0,0
땅값 상승에 새 아파트값도 고공행진…서울·세종·광주 분양열기 뜨거워,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002373364,5,3
날개단 송파구 상권…반년만에 월평균 매출 7배 치솟아,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001349424,6,0
