title,link,like,angry
서울서 연말까지 재개발·재건축 5천300가구 일반분양,https://search.naver.com/p/crd/rd?m=1&px=307&py=1446&sx=307&sy=892&p=UB%2FM%2FdprvxZssLGKbNGssssss40-025482&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%9E%AC%EA%B0%9C%EB%B0%9C%26%EC%9E%AC%EA%B1%B4%EC%B6%95&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=X2Aisv1M6SIvNzZdAOr8bg%3D%3D&time=1581240073924&bt=22&a=nws*a.nav&r=14&i=880000D8_000000000000000011089732&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D001%26aid%3D0011089732,2,0
"""뺄 것 다 빼"" 절박한 강남 재건축단지 '마이너스 옵션' 검토",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004277863,4,12
[우리동네 지역전문가] 정비 사업 진행돼 강남 신흥 부촌으로 급부상... ‘강...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004483346,4,1
"국토부, 재건축·재개발 조합 현장점검…“불법 적발 시 최대 형사고발”",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000166070,4,3
"서울 재건축·재개발 분양가, 4년간 53% 뛰어…올해 28% 급등",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003261586,3,0
내년 3∼5월 10만채 분양시장 달군다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0010761296,0,0
서울 27개동에 분양가상한제…“재건축 물건너갔다” 반발,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003230317,32,76
"서울 8개 재건축·재개발조합, 국토부에 분양가상한제 유예 청원",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003648474,0,1
[S머니]상한제단지 10곳 중 9곳 강남3구···압구정4 재건축은 터널속으로,https://search.naver.com/p/crd/rd?m=1&px=416&py=1646&sx=416&sy=892&p=UB%2FnvlprvTosss9OAolssssssn4-241302&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%9E%AC%EA%B0%9C%EB%B0%9C%26%EC%9E%AC%EA%B1%B4%EC%B6%95&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=X2Aisv1M6SIvNzZdAOr8bg%3D%3D&time=1581240093448&bt=22&a=nws*j.nav&r=19&i=88000108_000000000000000003648474&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D011%26aid%3D0003648474,0,1
"서울 8개 재건축·재개발조합, 국토부에 분양가상한제 유예 청원",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003230317,32,76
[S머니]상한제단지 10곳 중 9곳 강남3구···압구정4 재건축은 터널속으로,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003648474,0,1
올 연말 서울에서 ‘재개발·재건축’ 10개 단지 분양 쏟아진다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000593236,0,0
27곳 중 22곳이 강남4구…압구정 현대 등 재건축 단지들 적용 [분양가상한제 ...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=032&aid=0002973272,4,0
수천만원 떨어진 강남 재건축 vs 수억 급등한 강남 신축 아파트,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004278821,22,109
[S머니]재개발·재건축 규제에...서울 '새 아파트' 17만가구 줄어,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003570350,14,40
분양가상한제 쇼크?…재건축 상승폭 절반 `뚝`,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004395316,8,4
"상한제 피한 재개발 단지, 연말 분양시장 달군다",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002541973,16,63
재건축단지 `폭풍전야` … 집단행동 나설까,https://search.naver.com/p/crd/rd?m=1&px=440&py=1421&sx=440&sy=892&p=UB%2Fn4lprvTosss23cxsssssssew-262353&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%9E%AC%EA%B0%9C%EB%B0%9C%26%EC%9E%AC%EA%B1%B4%EC%B6%95&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=X2Aisv1M6SIvNzZdAOr8bg%3D%3D&time=1581240115319&bt=22&a=nws*j.nav&r=13&i=880000AD_000000000000000002541973&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D029%26aid%3D0002541973,16,63
"바뀌는 정부대책에 재건축조합 '우왕좌왕'…""정책 일관성 없다"" 부글부글",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009338594,2,35
"""내년 분양 38만6000가구 예정…재건축·재개발 53%""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004381456,1,0
“뺄 것 다 빼” 베트남·중국식 분양?… 마이너스옵션 검토하는 재건축,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004277822,15,78
